2014-04-23 23:03:33,687 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-23 23:03:33,690 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-23 23:03:33,690 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-24 12:16:24,471 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ogtime:clinicplus:1.0.0-BUILD-SNAPSHOT @ /Users/jonathandesjardins/ClinicPlusBD/clinicPlus/pom.xml.
2014-04-24 12:17:36,071 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ogtime:clinicplus:1.0.0-BUILD-SNAPSHOT @ /Users/jonathandesjardins/ClinicPlusBD/clinicPlus/pom.xml.
2014-04-24 12:17:39,355 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-24 12:17:39,362 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-04-24 12:17:39,396 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-24 12:17:39,397 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-04-24 12:17:40,818 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ogtime:clinicplus:1.0.0-BUILD-SNAPSHOT @ /Users/jonathandesjardins/ClinicPlusBD/clinicPlus/pom.xml.
2014-04-24 12:17:45,665 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-24 12:17:45,685 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-24 12:17:45,687 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-24 12:17:45,687 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-24 12:25:37,841 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-24 12:25:37,866 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
